offer_id,product,category,ingredient,count,type
48809587638602,Roses and Freesia Luxury Wreath - 16 Inch,4,Freesia,5,stems count
48809587638602,Roses and Freesia Luxury Wreath - 16 Inch,4,Hydrangea,4,stems count
48809587638602,Roses and Freesia Luxury Wreath - 16 Inch,4,Foliage,8,stems count
48809587638602,Roses and Freesia Luxury Wreath - 16 Inch,4,Sedum,6,stems count
48809587671370,Colourful Table Centrepiece - Standard,5,Delphinium,3,stems count
48809587671370,Colourful Table Centrepiece - Standard,5,Hydrangea,2,stems count
48809587671370,Colourful Table Centrepiece - Standard,5,Rose,5,stems count
48809587671370,Colourful Table Centrepiece - Standard,5,Lily,1,stems approx
48809587671370,Colourful Table Centrepiece - Standard,5,Sunflower,6,stems count
48809587671370,Colourful Table Centrepiece - Standard,5,Chrysanthemum,5,stems count
48809587736906,Colourful Table Centrepiece - Deluxe,5,Delphinium,3,stems count
48809587736906,Colourful Table Centrepiece - Deluxe,5,Hydrangea,2,stems count
48809587736906,Colourful Table Centrepiece - Deluxe,5,Rose,5,stems count
48809587736906,Colourful Table Centrepiece - Deluxe,5,Lily,1,stems approx
48809587736906,Colourful Table Centrepiece - Deluxe,5,Sunflower,6,stems count
48809587736906,Colourful Table Centrepiece - Deluxe,5,Chrysanthemum,5,stems count
48809587900746,White Roses - 12 Stems,5,Rose,12,stems count
48809587933514,White Roses - 24 Stems,5,Rose,24,stems count
48809587966282,White Roses - 36 Stems,5,Rose,36,stems count
48809587999050,Exotic Casket Spray - Standard,4,Anthurium,2,stems count
48809587999050,Exotic Casket Spray - Standard,4,Rose,4,stems count
48809587999050,Exotic Casket Spray - Standard,4,Berry,3,stems count
48809587999050,Exotic Casket Spray - Standard,4,Lily,3,stems count
48809587999050,Exotic Casket Spray - Standard,4,Chrysanthemum,2,stems count
48809588031818,Exotic Casket Spray - Deluxe,4,Anthurium,2,stems count
48809588031818,Exotic Casket Spray - Deluxe,4,Rose,4,stems count
48809588031818,Exotic Casket Spray - Deluxe,4,Berry,3,stems count
48809588031818,Exotic Casket Spray - Deluxe,4,Lily,3,stems count
48809588031818,Exotic Casket Spray - Deluxe,4,Chrysanthemum,2,stems count
48809588130122,All White Luxury Funeral Posy - 14 Inch,4,Rose,15,stems count
48809588228426,Luxury Sheaf - Standard,4,Chrysanthemum,3,stems count
48809588228426,Luxury Sheaf - Standard,4,Lily,4,stems count
48809588228426,Luxury Sheaf - Standard,4,Rose,3,stems count
48809588228426,Luxury Sheaf - Standard,4,Anthurium,2,stems count
48809588228426,Luxury Sheaf - Standard,4,Gladiolus,3,stems count
48809588228426,Luxury Sheaf - Standard,4,Foliage,8,stems count
48809588261194,Luxury Sheaf - Deluxe,4,Chrysanthemum,3,stems count
48809588261194,Luxury Sheaf - Deluxe,4,Lily,4,stems count
48809588261194,Luxury Sheaf - Deluxe,4,Rose,3,stems count
48809588261194,Luxury Sheaf - Deluxe,4,Anthurium,2,stems count
48809588261194,Luxury Sheaf - Deluxe,4,Gladiolus,3,stems count
48809588261194,Luxury Sheaf - Deluxe,4,Foliage,8,stems count
48809588293962,Front Facing Pedestal Arrangement - Standard,4,Chrysanthemum,8,stems count
48809588293962,Front Facing Pedestal Arrangement - Standard,4,Gerbera,7,stems count
48809588293962,Front Facing Pedestal Arrangement - Standard,4,Lily,2,stems count
48809588326730,Front Facing Pedestal Arrangement - Deluxe,4,Chrysanthemum,8,stems count
48809588326730,Front Facing Pedestal Arrangement - Deluxe,4,Gerbera,7,stems count
48809588326730,Front Facing Pedestal Arrangement - Deluxe,4,Lily,2,stems count
48809588359498,Heart of Pink and Red Roses - Regular,4,Rose,65,stems count
48809588359498,Heart of Pink and Red Roses - Regular,4,Amaranthus,8,stems count
48809588392266,Heart of Pink and Red Roses - Large,4,Rose,65,stems count
